"County","Vegetative Growth","Flowering","Grain Filling & Maturity","Establishment","Germination","Seedling","Physiological Maturity","Seedling stage","Seedling & Establishment","Maize_Vegetative Growth","Maize_Flowering","Maize_Grain Filling & Maturity","Maize_Establishment","Maize_Germination","Maize_Seedling","Maize_Physiological Maturity","Maize_Seeding stage","Maize_Seedling & Establishment","Potatoes_Vegetative Growth","Potatoes_Flowering","Potatoes_Grain Filling & Maturity","Potatoes_Establishment","Potatoes_Germination","Potatoes_Seedling","Potatoes_Physiological Maturity","Potatoes_Seedling stage","Potatoes_Seedling & Establishment","Sorghum_Vegetative Growth","Sorghum_Flowering","Sorghum_Grain Filling & Maturity","Sorghum_Establishment","Sorghum_Germination","Sorghum_Seedling","Sorghum_Physiological Maturity","Sorghum_Seedling stage","Sorghum_Seedling & Establishment","Sunflower_Vegetative Growth","Sunflower_Flowering","Sunflower_Grain Filling & Maturity","Sunflower_Establishment","Sunflower_Germination","Sunflower_Seedling","Sunflower_Physiological Maturity","Sunflower_Seedling stage","Sunflower_Seedling & Establishment","Green gram_Vegetative Growth","Green gram_Flowering","Green gram_Grain Filling & Maturity","Green gram_Establishment","Green gram_Germination","Green gram_Seedling","Green gram_Physiological Maturity","Green gram_Seedling stage","Green gram_Seedling & Establishment","Finger Millet_Vegetative Growth","Finger Millet_Flowering","Finger Millet_Grain Filling & Maturity","Finger Millet_Establishment","Finger Millet_Germination","Finger Millet_Seedling","Finger Millet_Physiological Maturity","Finger Millet_Seedling stage","Finger Millet_Seedling & Establishment","Cowpeas_Vegetative Growth","Cowpeas_Flowering","Cowpeas_Grain Filling & Maturity","Cowpeas_Establishment","Cowpeas_Germination","Cowpeas_Seedling","Cowpeas_Physiological Maturity","Cowpeas_Seedling stage","Cowpeas_Seedling & Establishment","Cowpeas leaves_Vegetative Growth","Cowpeas leaves_Flowering","Cowpeas leaves_Grain Filling & Maturity","Cowpeas leaves_Establishment","Cowpeas leaves_Germination","Cowpeas leaves_Seedling","Cowpeas leaves_Physiological Maturity","Cowpeas leaves_Seedling stage","Cowpeas leaves_Seedling & Establishment","Cassava_Vegetative Growth","Cassava_Flowering","Cassava_Grain Filling & Maturity","Cassava_Establishment","Cassava_Germination","Cassava_Seedling","Cassava_Physiological Maturity","Cassava_Seedling stage","Cassava_Seedling & Establishment","Sweet Sorghum_Vegetative Growth","Sweet Sorghum_Flowering","Sweet Sorghum_Grain Filling & Maturity","Sweet Sorghum_Establishment","Sweet Sorghum_Germination","Sweet Sorghum_Seedling","Sweet Sorghum_Physiological Maturity","Sweet Sorghum_Seedling stage","Sweet Sorghum_Seedling & Establishment"
"Mandera",0,1,23,0,0,0,53041,0,0,0,0,0,0,0,0,48352,0,0,0,1,0,0,0,0,82,0,0,0,0,0,0,0,0,4607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NANDI",0,17736,4493,3,0,0,1154,99606,0,0,17730,4493,0,0,0,1143,99606,0,0,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NAROK",9097,17772,1697,0,0,0,595,97684,33,0,12459,1695,0,0,0,585,97684,0,9071,4730,0,0,0,0,10,0,0,0,582,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYAMIRA",0,13083,40902,1,0,0,30545,0,0,0,13079,40901,1,0,0,30544,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYANDARUA",33810,31790,3771,13979,1,57,368,47693,19,0,9312,3770,13963,0,0,363,47693,0,33456,22472,0,0,0,0,5,0,0,0,5,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,28,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,1,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NYERI",38,23534,30060,325,0,0,35384,7793,0,0,22284,30060,321,0,0,35381,7793,0,9,1239,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nakuru",0,14572,3845,0,0,0,546,185215,0,0,14572,3845,0,0,0,546,185215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMBURU",11,7453,4959,0,0,0,1743,2317,0,0,6743,4942,0,0,0,1703,2317,0,0,701,0,0,0,0,7,0,0,0,2,17,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Siaya",0,0,0,0,0,0,186459,0,0,0,0,0,0,0,0,186459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAITA TAVETA",1,486,15,1,0,0,36499,0,0,0,0,0,0,0,0,35286,0,0,0,0,0,0,0,0,591,0,0,0,0,0,0,0,0,547,0,0,0,0,13,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TANA RIVER",5,0,3,0,0,0,27317,0,0,0,0,0,0,0,0,27248,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRANSZOIA",1,10284,1327,0,0,0,13686,97261,0,0,10263,1327,0,0,0,13657,97261,0,0,20,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TURKANA",0,0,6,0,0,0,9893,0,0,0,0,0,0,0,0,8782,0,0,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tharaka-Nithi",46,878,1523,0,0,0,51364,148,0,0,274,1214,0,0,0,50656,148,0,0,169,0,0,0,0,141,0,0,0,17,302,0,0,0,567,0,0,0,0,0,0,0,0,0,0,0,46,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UASIN GISHU",0,4956,669,0,0,0,6,105296,0,0,4956,669,0,0,0,6,105296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vihiga",0,0,0,0,0,0,96827,0,0,0,0,0,0,0,0,96827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wajir",0,1,1,0,0,0,27146,0,0,0,0,0,0,0,0,25220,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1913,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"West Pokot",981,15206,22667,2127,0,0,29143,6170,5,0,13154,20761,2127,0,0,28884,6170,0,968,1574,0,0,0,0,0,0,0,0,231,1896,0,0,0,259,0,5,0,0,0,0,0,0,0,0,0,13,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
